계산서번호,구분,발주번호,SKU번호,SKU명,입고반출일자,물류센터,수량,단가,총단가,지급일
26391293,발주,108972295,40840087,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15프로, 1세트",2025-07-28 10:09:50,CHW1,10,"9,540","95,400",2025-09-26
26391293,발주,108972295,41670004,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24, 1세트",2025-07-28 10:09:50,CHW1,3,"9,540","28,620",2025-09-26
26391293,발주,108972295,41670004,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24, 1세트",2025-07-28 10:14:40,CHW1,11,"9,540","104,940",2025-09-26
26391293,발주,108982275,31762099,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시S23울트라, 1세트",2025-07-28 13:50:56,GWJ2,50,"9,540","477,000",2025-09-26
26391293,발주,108982275,41670010,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24울트라, 1세트",2025-07-28 01:15:38,GWJ2,21,"9,540","200,340",2025-09-26
26391293,발주,108982275,55707338,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S25울트라, 1세트",2025-07-28 01:12:06,GWJ2,34,"9,060","308,040",2025-09-26
26391293,발주,108983260,31762099,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시S23울트라, 1세트",2025-07-28 19:41:10,CHW4,30,"9,540","286,200",2025-09-26
26391293,발주,108983260,31762099,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시S23울트라, 1세트",2025-07-28 19:47:27,CHW4,19,"9,540","181,260",2025-09-26
26391293,발주,108983260,50428036,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰16, 1세트",2025-07-28 19:41:10,CHW4,10,"9,540","95,400",2025-09-26
26391293,발주,108983826,55707340,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S25, 1세트",2025-07-28 03:24:30,GWJ4,61,"9,060","552,660",2025-09-26
26391293,발주,108984115,13906334,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시노트20, 1세트",2025-07-28 15:51:26,INC36,18,"9,540","171,720",2025-09-26
26391293,발주,108984115,13906334,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시노트20, 1세트",2025-07-28 16:36:03,INC36,2,"9,540","19,080",2025-09-26
26391293,발주,108984115,41241005,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰 X/XS/11프로, 1세트",2025-07-28 16:36:03,INC36,3,"9,540","28,620",2025-09-26
26391293,발주,108984115,41670004,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24, 1세트",2025-07-28 15:59:35,INC36,13,"9,540","124,020",2025-09-26
26391293,발주,108984115,41670004,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24, 1세트",2025-07-28 16:13:32,INC36,1,"9,540","9,540",2025-09-26
26391293,발주,108984115,50428038,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰16프로, 1세트",2025-07-28 15:59:35,INC36,12,"9,540","114,480",2025-09-26
26391293,발주,108984115,55707339,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S25플러스, 1세트",2025-07-28 16:13:32,INC36,29,"9,540","276,660",2025-09-26
26391293,발주,108984115,60043362,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S25엣지, 1세트",2025-07-28 15:59:35,INC36,11,"9,540","104,940",2025-09-26
26391293,발주,108985671,31762097,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시S23, 1세트",2025-07-28 15:48:13,DAE6,66,"9,540","629,640",2025-09-26
26391293,발주,108985671,31762097,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시S23, 1세트",2025-07-28 15:50:21,DAE6,65,"9,540","620,100",2025-09-26
26391293,발주,108985860,31762099,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시S23울트라, 1세트",2025-07-28 16:17:43,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,39374831,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S20FE, 1세트",2025-07-28 16:08:28,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,39374850,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S20울트라, 1세트",2025-07-28 16:08:28,YAS1,7,"9,540","66,780",2025-09-26
26391293,발주,108985860,40840056,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰12/12프로, 1세트",2025-07-28 16:08:28,YAS1,6,"9,540","57,240",2025-09-26
26391293,발주,108985860,40840059,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰12미니, 1세트",2025-07-28 16:08:28,YAS1,6,"9,540","57,240",2025-09-26
26391293,발주,108985860,40840063,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰12프로맥스, 1세트",2025-07-28 16:08:28,YAS1,4,"9,540","38,160",2025-09-26
26391293,발주,108985860,40840065,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰13/13프로, 1세트",2025-07-28 16:08:28,YAS1,12,"9,540","114,480",2025-09-26
26391293,발주,108985860,40840066,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰13미니, 1세트",2025-07-28 16:08:28,YAS1,4,"9,540","38,160",2025-09-26
26391293,발주,108985860,40840069,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰13프로맥스, 1세트",2025-07-28 16:08:28,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,40840077,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰14, 1세트",2025-07-28 16:08:28,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,40840079,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰14프로, 1세트",2025-07-28 15:59:32,YAS1,13,"9,540","124,020",2025-09-26
26391293,발주,108985860,40840081,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰14프로맥스, 1세트",2025-07-28 16:08:28,YAS1,3,"9,540","28,620",2025-09-26
26391293,발주,108985860,40840085,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15, 1세트",2025-07-28 15:59:32,YAS1,14,"9,540","133,560",2025-09-26
26391293,발주,108985860,40840089,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15프로맥스, 1세트",2025-07-28 15:59:32,YAS1,11,"9,558","105,138",2025-09-26
26391293,발주,108985860,41241011,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰SE2/SE3, 1세트",2025-07-28 15:59:32,YAS1,4,"9,540","38,160",2025-09-26
26391293,발주,108985860,41241023,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰XR/11, 1세트",2025-07-28 15:59:32,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,41669998,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A24, 1세트",2025-07-28 16:08:28,YAS1,6,"9,540","57,240",2025-09-26
26391293,발주,108985860,41670010,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24울트라, 1세트",2025-07-28 20:30:32,YAS1,20,"9,540","190,800",2025-09-26
26391293,발주,108985860,41670033,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S23FE, 1세트",2025-07-28 15:59:32,YAS1,8,"9,540","76,320",2025-09-26
26391293,발주,108985860,41670057,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A34, 1세트",2025-07-28 20:14:28,YAS1,6,"9,540","57,240",2025-09-26
26391293,발주,108985860,42671049,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A33, 1세트",2025-07-28 15:59:32,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,42671052,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A23, 1세트",2025-07-28 20:16:09,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,42671224,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S8, 1세트",2025-07-28 20:16:09,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,48183125,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A35, 1세트",2025-07-28 20:03:42,YAS1,11,"9,540","104,940",2025-09-26
26391293,발주,108985860,48183126,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A55, 1세트",2025-07-28 20:06:43,YAS1,3,"9,540","28,620",2025-09-26
26391293,발주,108985860,48183127,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A15, 1세트",2025-07-28 20:14:28,YAS1,7,"9,540","66,780",2025-09-26
26391293,발주,108985860,50428037,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰16플러스, 1세트",2025-07-28 20:16:09,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108985860,55707338,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S25울트라, 1세트",2025-07-28 03:18:29,YAS1,34,"9,060","308,040",2025-09-26
26391293,발주,108985860,59459681,"오하이 지문방지 무광택 액정보호 필름 삼성 갤럭시 Z폴드SE (스페셜 에디션), 1세트",2025-07-28 20:03:42,YAS1,2,"11,940","23,880",2025-09-26
26391293,발주,108985860,60043362,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S25엣지, 1세트",2025-07-28 03:18:29,YAS1,11,"9,540","104,940",2025-09-26
26391293,발주,108986654,40840083,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰14플러스, 1세트",2025-07-28 20:05:01,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108986654,40840096,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15플러스, 1세트",2025-07-28 03:18:29,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108986654,41241022,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰XS맥스/11프로맥스, 1세트",2025-07-28 03:18:29,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108986654,42671041,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A53, 1세트",2025-07-28 03:18:29,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108986654,42671137,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 노트8/9, 1세트",2025-07-28 03:18:29,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108986654,42671147,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S9, 1세트",2025-07-28 03:18:29,YAS1,2,"9,540","19,080",2025-09-26
26391293,발주,108986654,48183128,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A25, 1세트",2025-07-28 03:18:29,YAS1,2,"9,540","19,080",2025-09-26
26415643,발주,109165595,41555864,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15, 1세트",2025-07-30 12:46:46,INC4,10,"11,940","119,400",2025-09-26
26415643,발주,109165595,41555878,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 플러스, 1세트",2025-07-30 12:46:46,INC4,5,"11,940","59,700",2025-09-26
26415643,발주,109165595,50344698,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 16 프로맥스, 1세트",2025-07-30 12:38:36,INC4,10,"11,940","119,400",2025-09-26
26415643,발주,109165595,50344700,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 16, 1세트",2025-07-30 12:46:46,INC4,12,"11,940","143,280",2025-09-26
26415643,발주,109165595,55701818,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2매1세트, 갤럭시S25",2025-07-30 12:46:46,INC4,2,"10,740","21,480",2025-09-26
26415643,발주,109166849,54737734,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S9FE 플러스 12.4인치, 1개",2025-07-30 13:32:04,INC4,1,"10,140","10,140",2025-09-26
26415643,발주,109167144,54737741,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S9플러스 12.4인치, 1개",2025-07-30 13:32:04,INC4,2,"10,140","20,280",2025-09-26
26415643,발주,109167144,54737749,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S8플러스 12.4인치, 1개",2025-07-30 13:32:04,INC4,2,"10,140","20,280",2025-09-26
26415643,발주,109167144,54737753,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S9 11인치, 1개",2025-07-30 13:32:04,INC4,2,"10,140","20,280",2025-09-26
26415643,발주,109167144,54787332,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 아이패드 에어 4/5세대 10.9인치, 1개",2025-07-30 13:32:04,INC4,2,"10,140","20,280",2025-09-26
26522336,발주,109955885,54737738,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S7 11인치, 1개",2025-08-07 14:01:47,INC4,1,"10,140","10,140",2025-10-02
26522336,발주,109955885,54737752,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S10울트라 14.6인치, 1개",2025-08-07 14:01:47,INC4,2,"10,140","20,280",2025-10-02
26522336,발주,109956071,31729103,"오하이 지문방지 PET 무광필름 2매, 갤럭시S23, 1세트",2025-08-07 13:33:06,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956071,31729104,"오하이 지문방지 PET 무광필름 2매, 갤럭시S23플러스, 1세트",2025-08-07 13:33:06,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956071,39760251,"오하이 지문방지 PET 무광필름 2매, 갤럭시노트20, 1세트",2025-08-07 13:33:06,INC4,4,"9,600","38,400",2025-10-02
26522336,발주,109956071,40840096,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15플러스, 1세트",2025-08-07 13:33:06,INC4,1,"9,540","9,540",2025-10-02
26522336,발주,109956071,41269832,"오하이 사생활보호 프라이버시 TPU 지문인식 휴대폰 액정보호필름 2매+간편부착 툴, 애플 아이폰 15프로, 1세트",2025-08-07 13:33:06,INC4,1,"6,705","6,705",2025-10-02
26522336,발주,109956071,41911893,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S24플러스, 1세트",2025-08-07 13:33:06,INC4,6,"9,600","57,600",2025-10-02
26522336,발주,109956071,41911904,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S24울트라, 1세트",2025-08-07 13:01:15,INC4,3,"9,600","28,800",2025-10-02
26522336,발주,109956071,41941973,"오하이 지문방지 PET 무광필름 2매, 아이폰15프로, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956071,41941977,"오하이 지문방지 PET 무광필름 2매, 아이폰15프로맥스, 1세트",2025-08-07 13:33:06,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956071,52723709,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S24FE, 1세트",2025-08-07 14:09:04,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,36758768,"오하이 지문방지 PET 무광필름 2매, 아이폰13프로맥스, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,36758773,"오하이 지문방지 PET 무광필름 2매, 아이폰14프로, 1세트",2025-08-07 14:01:47,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,36758775,"오하이 지문방지 PET 무광필름 2매, 아이폰14, 1세트",2025-08-07 13:19:40,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,36758776,"오하이 지문방지 PET 무광필름 2매, 아이폰14플러스, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,39760292,"오하이 지문방지 PET 무광필름 2매, 아이폰12미니, 1세트",2025-08-07 13:33:06,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,41911911,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S24, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,41911918,"오하이 지문방지 PET 무광필름 2매, 아이폰15플러스, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,41941966,"오하이 지문방지 PET 무광필름 2매, 아이폰15, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,54175430,"오하이 지문방지 PET 무광필름 2매, 아이폰16프로, 1세트",2025-08-07 13:33:06,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,54175431,"오하이 지문방지 PET 무광필름 2매, 아이폰16프로맥스, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,54175432,"오하이 지문방지 PET 무광필름 2매, 아이폰16플러스, 1세트",2025-08-07 13:33:06,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956264,54175433,"오하이 지문방지 PET 무광필름 2매, 아이폰16, 1세트",2025-08-07 13:01:15,INC4,2,"9,600","19,200",2025-10-02
26522336,발주,109956484,54737745,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 아이패드 프로 7세대(M4) 13인치, 1개",2025-08-07 14:01:47,INC4,2,"10,140","20,280",2025-10-02
26522336,발주,110102520,35373955,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 14 프로, 1세트",2025-08-07 21:34:53,SEL1,2,"11,940","23,880",2025-10-02
26522336,발주,110103354,35373955,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 14 프로, 1세트",2025-08-07 21:32:37,KKW3,2,"11,940","23,880",2025-10-02
26522336,발주,110103354,40840066,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰13미니, 1세트",2025-08-07 21:32:37,KKW3,2,"9,540","19,080",2025-10-02
26536706,발주,109786280,62921998,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z플립7, 1세트 투명",2025-08-08 08:29:37,GOY1,80,"10,700","856,000",2025-10-02
26536706,발주,109786280,62921998,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z플립7, 1세트 투명",2025-08-08 08:53:52,GOY1,80,"10,700","856,000",2025-10-02
26536706,발주,109786280,62921998,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z플립7, 1세트 투명",2025-08-08 09:43:58,GOY1,64,"10,700","684,800",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 08:52:20,GOY1,60,"12,000","720,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 08:53:34,GOY1,60,"12,000","720,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 08:58:56,GOY1,72,"12,000","864,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 09:11:07,GOY1,55,"12,000","660,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 09:13:14,GOY1,45,"12,000","540,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 11:57:38,GOY1,29,"12,000","348,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 12:27:15,GOY1,56,"12,000","672,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 12:31:50,GOY1,34,"12,000","408,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 14:15:45,GOY1,50,"12,000","600,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 14:18:17,GOY1,60,"12,000","720,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 14:22:44,GOY1,40,"12,000","480,000",2025-10-02
26536706,발주,109786280,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2025-08-08 14:25:55,GOY1,40,"12,000","480,000",2025-10-02
26564877,발주,109741064,55701817,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2매1세트, 갤럭시S25 울트라",2025-08-10 17:48:19,CHW3,8,"10,740","85,920",2025-10-02
26564877,발주,109832476,41269792,"오하이 사생활보호 프라이버시 TPU 지문인식 휴대폰 액정보호필름 2매+간편부착 툴, 삼성 갤럭시 S22울트라, 1세트",2025-08-10 03:02:17,INC32,3,"6,705","20,115",2025-10-02
26564877,발주,109832476,55705544,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S25울트라, 1세트",2025-08-10 03:10:53,INC32,3,"9,600","28,800",2025-10-02
26564877,발주,109832476,55705545,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S25플러스, 1세트",2025-08-10 03:10:53,INC32,3,"9,600","28,800",2025-10-02
26564877,발주,109832476,55705546,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S25, 1세트",2025-08-10 03:10:53,INC32,5,"9,600","48,000",2025-10-02
26564877,발주,109907103,54737735,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S7FE 12.4인치, 1개",2025-08-10 03:04:50,INC32,2,"10,140","20,280",2025-10-02
26564877,발주,109907103,54737737,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S9FE 11인치, 1개",2025-08-10 03:04:50,INC32,2,"10,140","20,280",2025-10-02
26564877,발주,109907103,54737740,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 아이패드 에어 6세대(M2) 11인치, 1개",2025-08-10 03:08:46,INC32,2,"10,140","20,280",2025-10-02
26564877,발주,109907103,54737744,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 아이패드 미니 6/7세대 8.3인치, 1개",2025-08-10 03:08:46,INC32,2,"10,140","20,280",2025-10-02
26564877,발주,109907103,54737747,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S8울트라 14.6인치, 1개",2025-08-10 03:11:54,INC32,2,"10,140","20,280",2025-10-02
